Biweekly_Total,Biweekly_Govt,Biweekly_Emp
803.99,602.99,201.0
423.16,317.37,105.79
1002.83,752.12,250.71
1322.08,778.03,544.05
1211.9,711.17,500.73
550.85,324.76,226.09
819.11,614.33,204.78
819.11,614.33,204.78
367.32,275.49,91.83
532.65,399.49,133.16
232.6,174.45,58.15
522.26,391.7,130.56
1635.87,778.03,857.84
1384.1999999999998,711.17,673.03
629.1800000000001,324.76,304.42
445.15999999999997,324.76,120.4
1062.0,778.03,283.97
973.53,711.17,262.36
522.17,391.63,130.54
708.71,531.53,177.18
267.57,200.68,66.89
701.88,526.41,175.47
326.47,244.85,81.62
862.51,646.88,215.63
849.2,636.9,212.3
948.9,711.68,237.22
355.35,266.51,88.84
954.26,715.7,238.56
874.73,656.05,218.68
402.47,301.85,100.62
1144.12,711.17,432.95
1303.21,778.03,525.18
520.05,324.76,195.29
1115.6,778.03,337.57
1022.6099999999999,711.17,311.44
464.82,324.76,140.06
523.69,324.76,198.93
1250.1,778.03,472.07
1250.1,711.17,538.93
1025.62,711.17,314.45
454.06,324.76,129.3
1025.62,769.22,256.4
519.51,324.76,194.75
1265.51,778.03,487.48
1148.11,711.17,436.94
901.61,676.21,225.4
411.48,308.61,102.87
925.02,693.77,231.25
1204.6299999999999,711.17,493.46
547.55,324.76,222.79
1204.63,778.03,426.6
587.05,324.76,262.29
1350.1999999999998,711.17,639.03
1432.38,778.03,654.35
1001.84,751.38,250.46
984.41,711.17,273.24
435.58,324.76,110.82
469.03,324.76,144.27
1078.75,711.17,367.58
1078.75,778.03,300.72
1320.9699999999998,711.17,609.8
1401.38,778.03,623.35
574.3299999999999,324.76,249.57
1525.67,711.17,814.5
693.48,324.76,368.72
1664.3600000000001,778.03,886.33
1014.03,760.52,253.51
1014.03,711.17,302.86
448.69,324.76,123.93
499.25,324.76,174.49
1022.91,711.17,311.74
1043.4099999999999,778.03,265.38
837.18,627.89,209.29
291.19,218.39,72.8
582.17,436.63,145.54
439.37,324.76,114.61
1032.5,774.38,258.12
1032.5,711.17,321.33
1249.35,778.03,471.32
930.47,697.85,232.62
478.98,324.76,154.22
412.22,309.17,103.05
981.49,736.12,245.37
890.8,668.1,222.7
481.79999999999995,324.76,157.04
1113.52,778.03,335.49
1113.52,711.17,402.35
1069.7,778.03,291.67
445.71,324.76,120.95
980.56,711.17,269.39
401.45,301.09,100.36
969.1299999999999,711.17,257.96
993.1,744.83,248.27
913.56,324.76,588.8
2192.54,778.03,1414.51
2009.8200000000002,711.17,1298.65
1520.81,778.03,742.78
542.38,324.76,217.62
1059.26,711.17,348.09
872.79,654.59,218.2
864.5,648.38,216.12
375.58,281.69,93.89
1225.38,711.17,514.21
569.94,324.76,245.18
1350.75,778.03,572.72
925.06,693.8,231.26
391.13,293.35,97.78
840.96,630.72,210.24
1084.71,711.17,373.54
1193.1599999999999,778.03,415.13
504.49,324.76,179.73
1331.48,711.17,620.31
586.53,324.76,261.77
1378.34,778.03,600.31
992.3599999999999,711.17,281.19
437.14,324.76,112.38
1027.29,770.47,256.82
1125.6799999999998,711.17,414.51
495.87,324.76,171.11
1165.29,778.03,387.26
327.09,245.32,81.77
765.38,574.04,191.34
765.38,574.04,191.34
565.16,423.87,141.29
227.88,170.91,56.97
489.93,367.45,122.48
563.98,422.99,140.99
210.14000000000001,157.61,52.53
501.82,376.37,125.45
226.92,170.19,56.73
558.21,418.66,139.55
512.84,384.63,128.21
231.32,173.49,57.83
650.8,488.1,162.7
552.64,414.48,138.16
638.26,478.7,159.56
245.82,184.37,61.45
555.6,416.7,138.9
208.16,156.12,52.04
480.84,360.63,120.21
516.25,387.19,129.06
524.22,393.17,131.05
576.64,432.48,144.16
237.92,178.44,59.48
877.91,658.43,219.48
804.75,603.56,201.19
365.78999999999996,274.34,91.45
946.94,710.21,236.73
447.62,324.76,122.86
1029.94,772.46,257.48
567.08,425.31,141.77
567.08,425.31,141.77
254.29999999999998,190.73,63.57
451.28,324.76,126.52
992.8199999999999,711.17,281.65
1173.31,778.03,395.28
1224.98,711.17,513.81
1298.01,778.03,519.98
566.92,324.76,242.16
383.85999999999996,287.9,95.96
565.78,424.34,141.44
194.71,146.03,48.68
1018.0799999999999,763.56,254.52
961.76,711.17,250.59
433.21999999999997,324.76,108.46
1190.21,778.03,412.18
1124.36,711.17,413.19
506.47,324.76,181.71
513.0799999999999,324.76,188.32
1122.05,711.17,410.88
1235.69,778.03,457.66
746.06,559.55,186.51
346.99,260.24,86.75
925.79,694.34,231.45
246.56,184.92,61.64
591.77,443.83,147.94
542.45,406.84,135.61
1018.35,763.76,254.59
435.18,324.76,110.42
1018.3499999999999,711.17,307.18
401.41999999999996,301.07,100.35
922.15,691.61,230.54
922.15,691.61,230.54
696.29,522.22,174.07
767.49,575.62,191.87
315.06,236.3,78.76
251.8,188.85,62.95
551.67,413.75,137.92
566.02,424.52,141.5
416.9,312.68,104.22
958.88,719.16,239.72
958.88,711.17,247.71
819.94,614.96,204.98
869.85,652.39,217.46
356.49,267.37,89.12
871.73,653.8,217.93
385.72,289.29,96.43
871.73,653.8,217.93
867.71,650.78,216.93
867.71,650.78,216.93
377.26,282.95,94.31
830.74,623.06,207.68
374.23,280.67,93.56
830.74,623.06,207.68
1137.12,711.17,425.95
1240.49,778.03,462.46
516.87,324.76,192.11
341.23,255.92,85.31
771.19,578.39,192.8
771.19,578.39,192.8
1281.65,778.03,503.62
580.36,324.76,255.6
1268.96,711.17,557.79
1361.34,778.03,583.31
1145.92,711.17,434.75
572.96,324.76,248.2
371.47,278.6,92.87
185.39,139.04,46.35
611.88,458.91,152.97
937.89,703.42,234.47
385.49,289.12,96.37
1056.71,778.03,278.68
773.91,580.43,193.48
697.98,523.49,174.49
292.05,219.04,73.01
726.32,544.74,181.58
373.89,280.42,93.47
975.24,731.43,243.81
425.89,319.42,106.47
936.96,702.72,234.24
1064.74,778.03,286.71
379.48,284.61,94.87
937.96,703.47,234.49
874.8,656.1,218.7
705.98,324.76,381.22
1694.37,778.03,916.34
1553.17,711.17,842.0
489.1,324.76,164.34
1247.2199999999998,711.17,536.05
1320.58,778.03,542.55
655.6899999999999,491.77,163.92
279.01,209.26,69.75
619.41,464.56,154.85
636.02,477.02,159.0
270.65,202.99,67.66
600.84,450.63,150.21
655.39,491.54,163.85
271.19,203.39,67.8
642.56,481.92,160.64
